timestamp,name,type,bodyPart,time,equipment,link
12/25/2021 0:30:21,Exercise Snacks™️ Class #8: Digestion + Energy Circuit,"Mobility, Breathing & Blood flow",Full body,11,None,https://www.instagram.com/tv/CDjzyZ5ALYM/?utm_source=ig_web_copy_link
12/25/2021 0:45:33,SNACK PACK SESSION- LONG BAND,"Conditioning, Strength",Full body,10,Long exercise band with handles,https://www.instagram.com/p/CDJfQP6A7W3/?utm_source=ig_web_copy_link
12/25/2021 0:47:24,"Exercise Snack Class #7- ""HIGH INTENSITY BURNER""",Conditioning,Full body,20,None,https://www.instagram.com/tv/CCt79HagZxb/?utm_source=ig_web_copy_link
12/25/2021 0:48:23,"SNACK PACK CLASS #1: “OPTIMIZING THE WARM-UP""",Mobility,Full body,18,"Jump rope, Exercise band",https://www.instagram.com/tv/CCeJ1idgzhA/?utm_source=ig_web_copy_link
12/25/2021 0:49:21,"Exercise Snack Class 6- ""Morning Mobility""",Mobility,Full body,16,Exercise mat,https://www.instagram.com/tv/CCLvx2GAWAt/?utm_source=ig_web_copy_link
12/25/2021 0:51:03,EDUCATIONAL SNACK PSA: HILL TRAINING,Conditioning,Full body,20,None,https://www.instagram.com/p/CCCRFD8AIZx/?utm_source=ig_web_copy_link
12/25/2021 0:51:39,Exercise Snack Class #5 - “3 WAY CORE AND ABS”,Core,Full body,18,Exercise mat,https://www.instagram.com/tv/CBtsCslgR28/?utm_source=ig_web_copy_link
12/25/2021 0:53:53,GLUTE BRIDGE VARIATIONS TO ADD INTO YOUR SNACKS,"Mobility, Strength, Workout variations",Lower body,8,Exercise band,https://www.instagram.com/p/CBjKKWiATuV/?utm_source=ig_web_copy_link
12/25/2021 0:54:54,10 PUSH UP VARIATIONS,Strength,Upper Body,10,None,https://www.instagram.com/p/CBMjzjogFsV/?utm_source=ig_web_copy_link
12/25/2021 0:56:06,EXERCISE SNACK CLASS 4- “Resilience” TRAINING,"Mobility, Conditioning",Full body,18,Exercise mat,https://www.instagram.com/tv/CAqeIFcgEV6/?utm_source=ig_web_copy_link
12/25/2021 0:57:11,Dumbbell Exercise Snack,"Core, Strength",Full body,12,Dumbbell,https://www.instagram.com/p/CALiaOFALsk/?utm_source=ig_web_copy_link
12/25/2021 0:58:18,Mobility Routine,Mobility,Full body,10,Exercise mat,https://www.instagram.com/p/CADZAiVg3l7/?utm_source=ig_web_copy_link
12/25/2021 0:59:00,RUNNING SNACK,Conditioning,Full body,35,None,https://www.instagram.com/p/B_z31roA6W6/?utm_source=ig_web_copy_link
12/25/2021 1:00:37,Controlled Chaos,"Conditioning, Core",Full body,15,None,https://www.instagram.com/tv/B_qQymgA2kz/?utm_source=ig_web_copy_link
12/25/2021 1:02:29,Kirsty Godso x OchoSystem: Stability Series,"Mobility, Strength",Full body,15,Exercise mat,https://www.instagram.com/p/B_fsfYagdDB/?utm_source=ig_web_copy_link
12/25/2021 1:03:46,Exercise Snacks Class #2- FC Barcelona Sport Class,"Mobility, Core, Strength",Full body,17,Exercise mat,https://www.instagram.com/tv/B_GNRQIAEP2/?utm_source=ig_web_copy_link
12/25/2021 1:05:28,Naomi x OchoSystem Workout: Strength (Legs),Strength,Lower body,7,None,https://www.instagram.com/p/B_F4EhWgz4T/?utm_source=ig_web_copy_link
12/25/2021 1:06:27,Exercise Snack Class #1 - Conditioning and Core,"Conditioning, Core",Full body,20,Exercise mat,https://www.instagram.com/tv/B-7GWXmg-Qx/?utm_source=ig_web_copy_link
12/25/2021 1:07:47,Naomi x OchoSystem Workout: Core,Core,Full body,5,Exercise mat,https://www.instagram.com/p/B-z9SiFgmHW/?utm_source=ig_web_copy_link
12/25/2021 1:08:42,Stair Variations,Conditioning,Full body,15,Stairs,https://www.instagram.com/p/B-ubmt6gpSN/?utm_source=ig_web_copy_link
12/25/2021 1:10:05,Naomi x OchoSystem workout: Conditioning,Conditioning,Full body,15,None,https://www.instagram.com/p/B-iXOxLgR7E/?utm_source=ig_web_copy_link
12/25/2021 1:11:23,Naomi x OchoSystem Workout: Stability,"Mobility, Strength",Full body,16,None,https://www.instagram.com/p/B-iNIfEAVyP/?utm_source=ig_web_copy_link
12/25/2021 1:12:29,Core Circuit,Core,Upper Body,15,Exercise mat,https://www.instagram.com/p/B-XllYHAc14/?utm_source=ig_web_copy_link
12/25/2021 1:14:36,Total Body Conditioning 1,"Conditioning, Core, Strength",Full body,40,Exercise mat,https://www.instagram.com/p/B-SPpoegG35/?utm_source=ig_web_copy_link
12/25/2021 1:16:58,Track & Running Workouts,Conditioning,Full body,40,None,https://www.instagram.com/p/B-QgcOmA7_8/?utm_source=ig_web_copy_link
12/25/2021 1:18:57,Mobility/Wind-down drills,Mobility,Full body,5,Exercise mat,https://www.instagram.com/p/B-Iw2TCAouc/?utm_source=ig_web_copy_link
12/25/2021 1:20:19,Post-run circuit with park bench,Conditioning,Full body,5,Chair/Bench,https://www.instagram.com/p/B-In-R8ATsw/?utm_source=ig_web_copy_link
12/25/2021 1:22:33,Naomi x OchoSystem Workout: Strength,"Core, Strength",Full body,15,None,https://www.instagram.com/p/B9-X0OWAYg_/?utm_source=ig_web_copy_link
12/25/2021 1:23:40,Naomi x OchoSystem Workout: Core,Core,Upper Body,12,Exercise mat,https://www.instagram.com/p/B9-Ro2kg2jo/?utm_source=ig_web_copy_link
12/25/2021 1:24:44,Naomi x OchoSystem Workout: Activation/Joints,Mobility,Full body,7,None,https://www.instagram.com/p/B9-QjdQgjZE/?utm_source=ig_web_copy_link
12/25/2021 1:25:43,Runners' snack,"Conditioning, Core",Full body,15,None,https://www.instagram.com/p/B97wzQIH4Ae/?utm_source=ig_web_copy_link
12/25/2021 1:27:52,Joe Holder x Nike: The Closer,"Conditioning, Core, Strength",Full body,5,Exercise mat,https://www.instagram.com/p/B97vCPGn2G3/?utm_source=ig_web_copy_link
12/25/2021 1:29:16,OG Exercise Snack #1,"Core, Strength",Full body,7,None,https://www.instagram.com/p/B94qHndnEtC/?utm_source=ig_web_copy_link
12/25/2021 1:30:15,OG Exercise Snack #2,Conditioning,Full body,6,Exercise mat,https://www.instagram.com/p/B94qftnnth_/?utm_source=ig_web_copy_link
12/25/2021 1:31:09,OG Exercise Snack #3,Mobility,Full body,5,Exercise mat,https://www.instagram.com/p/B94q7IvnUOk/?utm_source=ig_web_copy_link
12/25/2021 1:32:23,"""5 minutes to fit"" with Health Magazine & Kirsty Godso",Conditioning,Full body,5,None,https://www.instagram.com/p/B94yogbn9nr/?utm_source=ig_web_copy_link
12/25/2021 1:33:28,OG Exercise Snack #4,"Conditioning, Strength",Lower body,19,None,https://www.instagram.com/p/B94ypWCHF48/?utm_source=ig_web_copy_link
